[07-01-24 02:05:29.513480] | v.0.11| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_2.mp3
[07-01-24 02:06:17.067547] | v.0.11| user:FilipChuwi |> list of available actions: ['25']
[07-01-24 02:06:17.075892] | v.0.11| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[07-01-24 02:06:17.084367] | v.0.11| user:FilipChuwi |> Game saved to: C:\Users\FilipChuwi\Documents\Jacek Ciesielski - Dreszcz\saves\dreszcz_24-01-07_13.json
[07-01-24 02:06:17.096433] | v.0.11| user:FilipChuwi |> setup.json has been updated
[07-01-24 02:06:17.103660] | v.0.11| user:FilipChuwi |> evaluated: 25
[07-01-24 02:06:17.218779] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_25_.mp3
[07-01-24 02:06:17.228057] | v.0.11| user:FilipChuwi |> list of available actions: ['200', '44']
[07-01-24 02:06:22.176015] | v.0.11| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[07-01-24 02:06:22.186433] | v.0.11| user:FilipChuwi |> Game saved to: C:\Users\FilipChuwi\Documents\Jacek Ciesielski - Dreszcz\saves\dreszcz_24-01-07_13.json
[07-01-24 02:06:22.200665] | v.0.11| user:FilipChuwi |> setup.json has been updated
[07-01-24 02:06:22.206071] | v.0.11| user:FilipChuwi |> evaluated: 200
[07-01-24 02:06:22.267669] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_200_.mp3
[07-01-24 02:09:18.855738] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:10:08.493010] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:17:13.812863] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:31:34.766595] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:32:50.417108] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:33:06.412268] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_opened_.mp3
[07-01-24 02:33:17.102395] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_combat_true_4.mp3
[07-01-24 02:33:25.696755] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_296a_.mp3
[07-01-24 02:33:25.958595] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_eatables_.mp3
[07-01-24 02:33:25.974580] | v.0.11| user:FilipChuwi |> KeyErrorCould not find string: eatables
[07-01-24 02:33:43.898533] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_eatables_.mp3
[07-01-24 02:33:43.920187] | v.0.11| user:FilipChuwi |> KeyErrorCould not find string: eatables
[07-01-24 02:33:47.115982] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_296b_.mp3
[07-01-24 02:33:47.564544] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_39_.mp3
[07-01-24 02:33:57.307461] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_228_.mp3
[07-01-24 02:33:57.711356] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_102_.mp3
[07-01-24 02:34:00.155178] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_374_.mp3
[07-01-24 02:34:00.349121] | v.0.11| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_eatables_.mp3
[07-01-24 02:34:00.365171] | v.0.11| user:FilipChuwi |> KeyErrorCould not find string: eatables
[07-01-24 02:37:33.522491] | v.0.11hfix01| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:03:57.909050] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_3.mp3
[10-01-24 01:03:58.032857] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:03:58.039843] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:03:58.118731] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:04:58.718766] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:04:58.730755] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:05:17.150133] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\accordeon asd_11_04_2021_NYC_comp.mp3
[10-01-24 01:05:17.193059] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:05:17.200050] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:05:17.206041] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:05:27.555495] | v.0.11hotfix02| user:FilipChuwi |> restored backup setup
[10-01-24 01:05:27.574461] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:05:46.519738] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_4.wav
[10-01-24 01:05:46.594626] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:05:46.603608] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:05:46.649535] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:05:50.010879] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:05:50.027846] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:07:12.372387] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_3.mp3
[10-01-24 01:07:12.385369] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:07:12.391354] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:07:12.397346] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:07:58.134960] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_1.mp3
[10-01-24 01:07:58.175256] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:07:58.187237] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:08:13.450746] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:08:38.537944] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\accordeon asd_11_04_2021.wav_
[10-01-24 01:08:38.587863] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:08:38.605836] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:08:38.613823] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:08:55.580891] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:08:55.592874] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:14:31.835846] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_4.wav
[10-01-24 01:14:32.504765] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:14:32.514754] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:14:32.524738] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:14:36.290331] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:14:36.300323] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:14:36.313295] | v.0.11hotfix02| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:14:36.335255] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:14:36.349238] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['prg._116a()']
[10-01-24 01:14:36.361215] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:14:36.377208] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:14:36.395158] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:14:36.408140] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:14:36.417128] | v.0.11hotfix02| user:FilipChuwi |> evaluated: prg._116a()
[10-01-24 01:15:24.373792] | v.0.11hotfix02| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_1.mp3
[10-01-24 01:15:24.407740] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:15:24.414727] | v.0.11hotfix02| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:15:24.422718] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:16:10.632317] | v.0.11hotfix02| user:FilipChuwi |> get_music() disabled - wanted to play: main
[10-01-24 01:16:10.642302] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:16:10.661273] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:16:13.448417] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:16:13.459407] | v.0.11hotfix02| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:16:13.472372] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:16:13.477361] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['prg._116a()']
[10-01-24 01:16:13.487348] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:16:13.499330] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:16:13.516301] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:16:13.521292] | v.0.11hotfix02| user:FilipChuwi |> evaluated: prg._116a()
[10-01-24 01:17:10.870987] | v.0.11hotfix02| user:FilipChuwi |> get_music() disabled - wanted to play: main
[10-01-24 01:17:10.885973] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:10.897951] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:17:13.536227] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:13.547208] | v.0.11hotfix02| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:13.564177] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:13.570171] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['01']
[10-01-24 01:17:13.576163] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:13.588138] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:13.600123] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:13.606110] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 01
[10-01-24 01:17:13.747894] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:16.565881] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['25']
[10-01-24 01:17:16.573871] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:16.586847] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:16.598829] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:16.603821] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 25
[10-01-24 01:17:16.687691] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:19.717922] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['200', '44']
[10-01-24 01:17:21.865561] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:21.882528] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:21.895508] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:21.901503] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 200
[10-01-24 01:17:21.952430] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:23.374183] | v.0.11hotfix02| user:FilipChuwi |> no par_name; update_variable: 0 + 1 = 1
[10-01-24 01:17:23.382166] | v.0.11hotfix02| user:FilipChuwi |> added visit: visit count of room number 364 = 1
[10-01-24 01:17:23.425105] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:25.029576] | v.0.11hotfix02| user:FilipChuwi |> eval: 301
[10-01-24 01:17:25.094480] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:26.726192] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['364', '120']
[10-01-24 01:17:28.057108] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:28.075077] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:28.088057] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:28.094048] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 120
[10-01-24 01:17:28.174925] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:29.431938] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['64']
[10-01-24 01:17:29.441925] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:29.452907] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:29.467885] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:29.473875] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 64
[10-01-24 01:17:29.539779] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:17:30.831017] | v.0.11hotfix02| user:FilipChuwi |> list of available actions: ['296', '264', '284', '224']
[10-01-24 01:17:32.314782] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:17:32.329753] | v.0.11hotfix02| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:17:32.340731] | v.0.11hotfix02| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:17:32.346721] | v.0.11hotfix02| user:FilipChuwi |> evaluated: 296
[10-01-24 01:17:32.352715] | v.0.11hotfix02| user:FilipChuwi |> FileNotFoundError Could not find: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_296a_.mp3
[10-01-24 01:17:32.384660] | v.0.11hotfix02| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:18:22.593956] | v.0.11hotfix02| user:FilipChuwi |> get_music() disabled - wanted to play: main
[10-01-24 01:18:22.605953] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:18:22.616921] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:18:31.396510] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:28:27.308296] | v.0.11hotfix02| user:FilipChuwi |> get_music() disabled - wanted to play: main
[10-01-24 01:28:27.324264] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:28:27.334253] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:30:25.321453] | v.0.11hotfix02| user:FilipChuwi |> get_music() disabled - wanted to play: main
[10-01-24 01:30:25.333434] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:30:57.922148] | v.0.11hotfix02| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:31:08.270177] | v.0.11hotfix02| user:FilipChuwi |> Restored dummy game_state to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:31:08.281161] | v.0.11hotfix02| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:33:03.194951] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:08.568304] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:33:12.099017] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:13.787711] | v.0.11hotfix03| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:33:13.818659] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:33:13.824653] | v.0.11hotfix03| user:FilipChuwi |> list of available actions: ['01']
[10-01-24 01:33:13.830650] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:15.227447] | v.0.11hotfix03| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:33:15.250410] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:33:15.257394] | v.0.11hotfix03| user:FilipChuwi |> evaluated: 01
[10-01-24 01:33:15.479315] | v.0.11hotfix03| user:FilipChuwi |> dubbing disabled in Assets\game_files\setup.json
[10-01-24 01:33:33.274756] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:33.284887] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:33:55.014782] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:55.025762] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:33:57.713972] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:57.728952] | v.0.11hotfix03| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:33:57.783858] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:33:57.793848] | v.0.11hotfix03| user:FilipChuwi |> list of available actions: ['01']
[10-01-24 01:33:57.818805] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:33:57.836775] | v.0.11hotfix03| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:33:57.884699] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:33:57.889689] | v.0.11hotfix03| user:FilipChuwi |> evaluated: 01
[10-01-24 01:33:57.996525] | v.0.11hotfix03| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\en\audiobook_adam_en_01_.mp3
[10-01-24 01:34:49.344001] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:34:49.354981] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:34:52.957346] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:34:52.967332] | v.0.11hotfix03| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:34:52.981299] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:34:52.988292] | v.0.11hotfix03| user:FilipChuwi |> list of available actions: ['00']
[10-01-24 01:34:52.994277] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:34:53.007260] | v.0.11hotfix03| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:34:53.025227] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:34:53.031217] | v.0.11hotfix03| user:FilipChuwi |> evaluated: 00
[10-01-24 01:34:53.224798] | v.0.11hotfix03| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_00a_.mp3
[10-01-24 01:35:26.840072] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:35:26.851052] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:35:32.436670] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:35:32.450646] | v.0.11hotfix03| user:FilipChuwi |> Game state loaded from: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:35:32.464629] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:35:32.470620] | v.0.11hotfix03| user:FilipChuwi |> list of available actions: ['00']
[10-01-24 01:35:32.476609] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:35:32.492586] | v.0.11hotfix03| user:FilipChuwi |> Game saved to: Assets\game_files\dreszcz_dummy.json
[10-01-24 01:35:32.503566] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:35:32.510556] | v.0.11hotfix03| user:FilipChuwi |> evaluated: 00
[10-01-24 01:35:32.643297] | v.0.11hotfix03| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_00a_.mp3
[10-01-24 01:36:10.805899] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:48:38.049308] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:48:53.700854] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[10-01-24 01:48:53.713830] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:49:08.782800] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:49:08.793784] | v.0.11hotfix03| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:49:08.799773] | v.0.11hotfix03| user:FilipChuwi |> found valid game state file: dreszcz_dummy.json
[10-01-24 01:49:08.807761] | v.0.11hotfix03| user:FilipChuwi |> setup.json is not a valid game state file
[10-01-24 01:49:08.812753] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:49:31.081525] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:49:31.093506] | v.0.11hotfix03| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:49:31.101494] | v.0.11hotfix03| user:FilipChuwi |> found valid game state file: dreszcz_dummy.json
[10-01-24 01:49:31.108478] | v.0.11hotfix03| user:FilipChuwi |> setup.json is not a valid game state file
[10-01-24 01:49:31.118466] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:49:59.403060] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:49:59.412041] | v.0.11hotfix03| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:49:59.963874] | v.0.11hotfix03| user:FilipChuwi |> found valid game state file: dreszcz_dummy.json
[10-01-24 01:49:59.987844] | v.0.11hotfix03| user:FilipChuwi |> setup.json is not a valid game state file
[10-01-24 01:50:00.004807] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:50:06.602810] | v.0.11hotfix03| user:FilipChuwi |> restored backup setup
[10-01-24 01:50:06.620786] | v.0.11hotfix03| user:FilipChuwi |> setup.json has been updated
[10-01-24 01:51:02.625505] | v.0.11hotfix03| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_2.mp3
[10-01-24 01:51:02.702384] | v.0.11hotfix03| user:FilipChuwi |> Looking for game states in project location
[10-01-24 01:51:02.708377] | v.0.11hotfix03| user:FilipChuwi |> changelog.json is not a valid game state file
[10-01-24 01:51:02.713368] | v.0.11hotfix03| user:FilipChuwi |> found valid game state file: dreszcz_dummy.json
[10-01-24 01:51:02.719373] | v.0.11hotfix03| user:FilipChuwi |> setup.json is not a valid game state file
[10-01-24 01:51:02.725351] | v.0.11hotfix03| user:FilipChuwi |> main.py ENTRY POINT
[10-01-24 01:51:33.530632] | v.0.11hotfix03| user:FilipChuwi |> Playing main: Assets\Audio\music\main\accordeon asd_11_04_2021_NYC_comp.mp3
